vitamin	0.1538	982 982 974 974 1166 1580 1580 1201 1201 1243 1519 1519 1100 1100 1162 1516 1516 1112 1112 1558 1542 1542 976 976 1303 1576 1576 1340 1340 1543 1818 1818 1010 1010 1628 1545 1545 1072 1072 1425 1784 1784 1218 1218 1192 1778 1778 1154 1154 1484 1384 1384 1263 1263 1756 1176 1176 1088 1088 1758 1362 1362 970 970 1006 
vitamin	0.303	1156 1546 1599 1082 1083 1607 1148 1058 1154 1111 1761 1193 1179 1294 1257 1484 1184 1164 1525 1241 1249 1459 1245 1233 1204 1062 1668 1102 1058 1326 1187 1384 1339 
Value	0.1961	1320 1320 1446 1387 1387 1399 1195 1195 982 1203 1617 1617 1298 1197 1197 1434 1544 1285 1285 1242 1524 1524 1146 1186 1186 1536 1191 986 986 1231 1536 1536 1349 1202 1741 1741 1474 1193 1193 1291 1446 1446 1230 982 1030 1030 1173 1275 1275 1331 1128 
Value	0.2381	2478 2478 1531 1961 1961 2345 1156 772 772 1887 2062 2062 1420 1981 2522 2522 1506 558 558 2402 2454 750 750 1236 2550 2550 1838 638 2454 2454 2426 697 697 1530 2490 1801 1801 1473 2204 2204 2006 822 
Trans	0.4	942 942 942 1897 1384 996 996 1299 1654 1206 1876 1876 1452 998 1946 1184 1184 984 1882 1191 1244 1244 1596 1301 1614 
Total	0.2941	1612 1612 528 528 2014 2014 2126 2126 768 768 2286 2286 1716 1716 588 588 2230 2230 1934 1934 678 678 1418 1418 1962 1962 1098 1098 2098 2098 2110 2110 630 630 
Total	0.2778	1388 1388 2430 2490 1130 854 854 1638 2410 2258 976 976 2005 2374 1971 850 850 1484 2434 2406 1464 1464 962 1592 2081 2088 2088 1503 2165 2354 2156 2156 598 1776 2470 2258 
Total	0.3846	2258 2258 1820 1549 1905 2188 2188 1636 1389 1883 2330 2330 1989 1497 1332 1754 1754 2175 1944 1945 2170 2170 2214 1492 1484 2230 
Total	0.303	802 802 1090 1090 2470 2218 2218 889 889 2370 2418 2418 918 918 1424 2430 2430 2078 2078 928 1417 1417 2216 2216 1854 1312 1312 2354 2354 2354 674 674 1886 
Total	0.3333	2230 2230 1126 1854 1854 2374 2047 2047 1451 2334 2334 2334 1488 1694 1694 2402 2370 2370 1486 1393 2063 2063 2070 1774 1774 2422 2374 2374 1358 1632 
Total	0.3226	2178 2178 1154 1692 1692 2410 2057 2057 1313 2162 2346 2346 1656 1378 1378 2270 2362 1500 1500 1272 1936 1936 2027 1647 2125 2125 2374 1732 1732 1232 2302 
Total	0.2632	2334 2334 2218 1657 1657 1602 1395 1395 1218 1908 1991 1991 1587 2186 2186 2382 1596 1156 1156 2090 2382 2382 1783 1120 1034 1034 1038 1058 1058 1106 1600 1681 1681 1385 2042 2042 1715 1145 
Thiamin	0.3226	1415 2130 1261 1295 1472 1606 1359 1836 1970 1340 1580 1264 1733 1448 2111 1241 1404 1650 1400 1802 1513 1424 2071 1201 1516 1436 1233 1963 1428 1525 1564 
Sugars	0.2222	1203 1203 1151 1151 1519 910 910 1110 1110 1801 664 664 1297 1297 1684 671 671 1897 1897 950 792 792 2112 2112 962 1247 1247 1279 1279 914 2154 2154 878 878 914 1948 1948 968 968 912 1401 1401 1156 1156 1190 
Sugars	0.2128	1249 1846 1497 1298 1278 1302 1539 1821 1181 1014 1628 2278 1130 1014 1171 2302 1648 942 1409 2241 1485 1176 1229 1892 2362 1142 1112 1827 1665 1314 1433 2382 1683 1006 1066 2081 1960 1246 1228 1131 1514 1936 1396 1335 1657 1895 1135 
Sugars	0.1961	1479 1479 1298 1298 1182 1148 1148 1381 1381 1259 1376 1376 1580 1580 990 958 958 1576 1576 1325 1442 1442 1540 1540 1162 1158 1158 1876 1364 1364 1227 1227 1626 1380 1380 1430 1430 1847 1046 1046 1644 1644 1676 1222 1222 1137 1137 1565 1353 1353 1420 
Sugars	0.4167	1323 1497 1388 1515 1234 1344 1285 1250 1352 1292 1531 1409 1325 1257 1506 1352 1466 1264 1385 1274 1304 1369 1446 1307 
Sugars	0.3448	1229 1380 1201 1210 1400 1266 1396 1509 1120 1180 1373 1246 1657 1400 1649 1490 1229 1436 1428 1408 1497 1126 1550 1297 1135 1283 1489 1452 1344 
Sugars	0.25	1352 1352 1828 1367 1302 1407 1770 1262 1524 2012 1134 1134 1150 2064 1492 1270 2052 1520 1411 1855 1892 1892 1150 1759 1722 1538 1989 1830 1078 1849 1892 1892 1395 1237 1651 1811 1550 1827 1609 1070 
Sugars	0.5263	1397 1202 1470 1091 1642 1043 1670 1026 1437 1194 1509 1124 1352 1588 978 1707 1148 1218 1457 
Sodium	0.1389	2147 2147 2147 1722 1722 1404 1404 1404 2254 2254 1947 1947 1947 1472 1472 2234 2234 2234 1792 1792 1748 1748 1748 2250 2250 1687 1687 1687 1935 1935 2250 2250 2250 1314 1314 1776 1776 1776 2274 2274 1322 1322 1322 1756 1756 2266 2266 2266 1408 1408 1963 1963 1963 2178 2178 1248 1248 1248 2158 2158 2174 2174 2174 1651 1651 2202 2202 2202 2056 2056 1611 1611 
